file,name,id,page,row,col,needs_name
woman-in-coat.svg,woman-in-coat,SCAN0008_r02_c01,SCAN0008,2,1,0
two-figures.svg,two-figures,SCAN0008_r02_c02,SCAN0008,2,2,0
man-in-coat.svg,man-in-coat,SCAN0008_r02_c03,SCAN0008,2,3,0
man-in-uniform.svg,man-in-uniform,SCAN0008_r02_c04,SCAN0008,2,4,0
sailor.svg,sailor,SCAN0008_r02_c05,SCAN0008,2,5,0
woman-in-robe.svg,woman-in-robe,SCAN0008_r03_c01,SCAN0008,3,1,0
man-seated-robe.svg,man-seated-robe,SCAN0008_r03_c02,SCAN0008,3,2,0
jester.svg,jester,SCAN0008_r03_c03,SCAN0008,3,3,0
man-long-robe.svg,man-long-robe,SCAN0008_r03_c04,SCAN0008,3,4,0
man-in-cloak.svg,man-in-cloak,SCAN0008_r03_c05,SCAN0008,3,5,0
woman-long-dress-2.svg,woman-long-dress,SCAN0008_r04_c01,SCAN0008,4,1,0
man-cavalier-hat.svg,man-cavalier-hat,SCAN0008_r04_c02,SCAN0008,4,2,0
man-lederhosen.svg,man-lederhosen,SCAN0008_r04_c03,SCAN0008,4,3,0
man-arms-on-hips.svg,man-arms-on-hips,SCAN0008_r04_c04,SCAN0008,4,4,0
woman-dancer.svg,woman-dancer,SCAN0008_r04_c05,SCAN0008,4,5,0
woman-dress-standing-2.svg,woman-dress-standing,SCAN0008_r05_c01,SCAN0008,5,1,0
man-walking-robe.svg,man-walking-robe,SCAN0008_r05_c02,SCAN0008,5,2,0
woman-walking-2.svg,woman-walking,SCAN0008_r05_c03,SCAN0008,5,3,0
wrestler.svg,wrestler,SCAN0008_r05_c04,SCAN0008,5,4,0
man-robe.svg,man-robe,SCAN0008_r05_c05,SCAN0008,5,5,0
woman-gown-2.svg,woman-gown,SCAN0008_r06_c01,SCAN0008,6,1,0
man-uniform-shorts.svg,man-uniform-shorts,SCAN0008_r06_c02,SCAN0008,6,2,0
man-suit.svg,man-suit,SCAN0008_r06_c03,SCAN0008,6,3,0
man-with-cane.svg,man-with-cane,SCAN0008_r06_c04,SCAN0008,6,4,0
man-in-overcoat.svg,man-in-overcoat,SCAN0008_r06_c05,SCAN0008,6,5,0
man-praying.svg,man-praying,SCAN0009_r01_c01,SCAN0009,1,1,0
man-standing-2.svg,man-standing,SCAN0009_r01_c02,SCAN0009,1,2,0
preacher-at-pulpit.svg,preacher-at-pulpit,SCAN0009_r01_c03,SCAN0009,1,3,0
priest-with-cross.svg,priest-with-cross,SCAN0009_r01_c04,SCAN0009,1,4,0
nun-with-cross.svg,nun-with-cross,SCAN0009_r01_c05,SCAN0009,1,5,0
man-star-of-david.svg,man-star-of-david,SCAN0009_r02_c01,SCAN0009,2,1,0
person-star-of-david.svg,person-star-of-david,SCAN0009_r02_c02,SCAN0009,2,2,0
person-reclining.svg,person-reclining,SCAN0009_r03_c02,SCAN0009,3,2,0
baby-sitting-2.svg,baby-sitting,SCAN0009_r03_c03,SCAN0009,3,3,0
baby-standing.svg,baby-standing,SCAN0009_r03_c04,SCAN0009,3,4,0
baby-crouching.svg,baby-crouching,SCAN0009_r03_c05,SCAN0009,3,5,0
mother-with-child.svg,mother-with-child,SCAN0009_r04_c01,SCAN0009,4,1,0
man-standing-3.svg,man-standing,SCAN0009_r04_c02,SCAN0009,4,2,0
woman-dress-2.svg,woman-dress,SCAN0009_r04_c03,SCAN0009,4,3,0
woman-in-apron.svg,woman-in-apron,SCAN0009_r04_c04,SCAN0009,4,4,0
person-standing.svg,person-standing,SCAN0009_r04_c05,SCAN0009,4,5,0
woman-maid-apron.svg,woman-maid-apron,SCAN0009_r05_c01,SCAN0009,5,1,0
man-standing-2-2.svg,man-standing-2,SCAN0009_r05_c02,SCAN0009,5,2,0
woman-standing-2.svg,woman-standing,SCAN0009_r05_c03,SCAN0009,5,3,0
woman-walking-3.svg,woman-walking,SCAN0009_r05_c04,SCAN0009,5,4,0
woman-walking-2-2.svg,woman-walking-2,SCAN0009_r05_c05,SCAN0009,5,5,0
woman-maid.svg,woman-maid,SCAN0009_r06_c01,SCAN0009,6,1,0
man-standing-3-2.svg,man-standing-3,SCAN0009_r06_c02,SCAN0009,6,2,0
woman-gown-3.svg,woman-gown,SCAN0009_r06_c03,SCAN0009,6,3,0
woman-holding-baby.svg,woman-holding-baby,SCAN0009_r06_c04,SCAN0009,6,4,0
person-bowing.svg,person-bowing,SCAN0009_r06_c05,SCAN0009,6,5,0
woman-drinking-cup.svg,woman-drinking-cup,SCAN0011_r01_c01,SCAN0011,1,1,0
woman-walking-4.svg,woman-walking,SCAN0011_r01_c02,SCAN0011,1,2,0
woman-standing-3.svg,woman-standing,SCAN0011_r01_c03,SCAN0011,1,3,0
woman-walking-bun-2.svg,woman-walking-bun,SCAN0011_r01_c04,SCAN0011,1,4,0
woman-carrying-book.svg,woman-carrying-book,SCAN0011_r01_c05,SCAN0011,1,5,0
woman-with-cup.svg,woman-with-cup,SCAN0011_r02_c01,SCAN0011,2,1,0
woman-carrying-laundry.svg,woman-carrying-laundry,SCAN0011_r02_c02,SCAN0011,2,2,0
woman-polka-dot-dress.svg,woman-polka-dot-dress,SCAN0011_r02_c03,SCAN0011,2,3,0
woman-with-broom.svg,woman-with-broom,SCAN0011_r02_c04,SCAN0011,2,4,0
woman-standing-2-2.svg,woman-standing-2,SCAN0011_r02_c05,SCAN0011,2,5,0
woman-at-counter.svg,woman-at-counter,SCAN0011_r03_c01,SCAN0011,3,1,0
woman-reading.svg,woman-reading,SCAN0011_r03_c02,SCAN0011,3,2,0
woman-cooking-pot.svg,woman-cooking-pot,SCAN0011_r03_c03,SCAN0011,3,3,0
woman-with-basket.svg,woman-with-basket,SCAN0011_r03_c04,SCAN0011,3,4,0
waiter-with-mug.svg,waiter-with-mug,SCAN0011_r03_c05,SCAN0011,3,5,0
woman-ironing.svg,woman-ironing,SCAN0011_r04_c01,SCAN0011,4,1,0
woman-reading-book.svg,woman-reading-book,SCAN0011_r04_c02,SCAN0011,4,2,0
woman-kneeling.svg,woman-kneeling,SCAN0011_r04_c03,SCAN0011,4,3,0
figure-praying.svg,figure-praying,SCAN0011_r04_c04,SCAN0011,4,4,0
priest-with-cross-2.svg,priest-with-cross,SCAN0011_r04_c05,SCAN0011,4,5,0
woman-at-sewing-machine.svg,woman-at-sewing-machine,SCAN0011_r05_c01,SCAN0011,5,1,0
woman-at-typewriter.svg,woman-at-typewriter,SCAN0011_r05_c02,SCAN0011,5,2,0
woman-seated-typing.svg,woman-seated-typing,SCAN0011_r05_c03,SCAN0011,5,3,0
woman-at-desk.svg,woman-at-desk,SCAN0011_r05_c04,SCAN0011,5,4,0
woman-reading-seated.svg,woman-reading-seated,SCAN0011_r05_c05,SCAN0011,5,5,0
woman-at-vanity-mirror.svg,woman-at-vanity-mirror,SCAN0011_r06_c01,SCAN0011,6,1,0
woman-seated-chair.svg,woman-seated-chair,SCAN0011_r06_c02,SCAN0011,6,2,0
woman-at-desk-writing.svg,woman-at-desk-writing,SCAN0011_r06_c03,SCAN0011,6,3,0
woman-at-desk-lamp.svg,woman-at-desk-lamp,SCAN0011_r06_c04,SCAN0011,6,4,0
woman-leaning-on-desk.svg,woman-leaning-on-desk,SCAN0011_r06_c05,SCAN0011,6,5,0
woman-at-stove.svg,woman-at-stove,SCAN0012_r01_c01,SCAN0012,1,1,0
woman-at-counter-2.svg,woman-at-counter,SCAN0012_r01_c02,SCAN0012,1,2,0
woman-in-apron-2.svg,woman-in-apron,SCAN0012_r01_c03,SCAN0012,1,3,0
woman-cooking.svg,woman-cooking,SCAN0012_r01_c04,SCAN0012,1,4,0
woman-ironing-2.svg,woman-ironing,SCAN0012_r01_c05,SCAN0012,1,5,0
woman-in-coat-2.svg,woman-in-coat,SCAN0012_r02_c01,SCAN0012,2,1,0
woman-in-dress-2.svg,woman-in-dress,SCAN0012_r02_c02,SCAN0012,2,2,0
woman-apron-standing.svg,woman-apron-standing,SCAN0012_r02_c03,SCAN0012,2,3,0
woman-in-suit.svg,woman-in-suit,SCAN0012_r02_c04,SCAN0012,2,4,0
woman-in-jacket.svg,woman-in-jacket,SCAN0012_r02_c05,SCAN0012,2,5,0
woman-standing-4.svg,woman-standing,SCAN0012_r03_c01,SCAN0012,3,1,0
woman-with-hat.svg,woman-with-hat,SCAN0012_r03_c02,SCAN0012,3,2,0
woman-dress-standing-3.svg,woman-dress-standing,SCAN0012_r03_c03,SCAN0012,3,3,0
woman-walking-5.svg,woman-walking,SCAN0012_r03_c04,SCAN0012,3,4,0
salesman-with-bag.svg,salesman-with-bag,SCAN0012_r04_c02,SCAN0012,4,2,0
salesman-presenting.svg,salesman-presenting,SCAN0012_r04_c03,SCAN0012,4,3,0
salesman-with-box.svg,salesman-with-box,SCAN0012_r04_c04,SCAN0012,4,4,0
man-walking-briefcase.svg,man-walking-briefcase,SCAN0012_r04_c05,SCAN0012,4,5,0
man-walking-3.svg,man-walking,SCAN0012_r05_c01,SCAN0012,5,1,0
salesman-with-case.svg,salesman-with-case,SCAN0012_r05_c02,SCAN0012,5,2,0
man-bending.svg,man-bending,SCAN0012_r05_c03,SCAN0012,5,3,0
man-at-counter.svg,man-at-counter,SCAN0012_r05_c04,SCAN0012,5,4,0
man-in-apron.svg,man-in-apron,SCAN0012_r06_c02,SCAN0012,6,2,0
man-standing-4.svg,man-standing,SCAN0012_r06_c03,SCAN0012,6,3,0
man-leaning.svg,man-leaning,SCAN0012_r06_c04,SCAN0012,6,4,0
man-with-cane-2.svg,man-with-cane,SCAN0012_r06_c05,SCAN0012,6,5,0
man-leaning-on-cane.svg,man-leaning-on-cane,SCAN0013_r01_c01,SCAN0013,1,1,0
man-holding-coat.svg,man-holding-coat,SCAN0013_r01_c02,SCAN0013,1,2,0
man-bending-over.svg,man-bending-over,SCAN0013_r01_c03,SCAN0013,1,3,0
man-seated.svg,man-seated,SCAN0013_r01_c04,SCAN0013,1,4,0
man-throwing.svg,man-throwing,SCAN0013_r01_c05,SCAN0013,1,5,0
man-with-bottle.svg,man-with-bottle,SCAN0013_r02_c01,SCAN0013,2,1,0
man-standing-coat.svg,man-standing-coat,SCAN0013_r02_c02,SCAN0013,2,2,0
man-with-cane-3.svg,man-with-cane,SCAN0013_r02_c03,SCAN0013,2,3,0
man-with-accordion.svg,man-with-accordion,SCAN0013_r02_c04,SCAN0013,2,4,0
man-arms-raised.svg,man-arms-raised,SCAN0013_r02_c05,SCAN0013,2,5,0
man-reading-paper.svg,man-reading-paper,SCAN0013_r03_c01,SCAN0013,3,1,0
man-carrying-box-2.svg,man-carrying-box,SCAN0013_r03_c02,SCAN0013,3,2,0
man-hat-with-box.svg,man-hat-with-box,SCAN0013_r03_c03,SCAN0013,3,3,0
man-with-birdcage.svg,man-with-birdcage,SCAN0013_r03_c04,SCAN0013,3,4,0
man-carrying-cage.svg,man-carrying-cage,SCAN0013_r03_c05,SCAN0013,3,5,0
man-overalls-2.svg,man-overalls,SCAN0013_r04_c01,SCAN0013,4,1,0
man-overalls-2-2.svg,man-overalls-2,SCAN0013_r04_c02,SCAN0013,4,2,0
man-rolled-sleeves.svg,man-rolled-sleeves,SCAN0013_r04_c03,SCAN0013,4,3,0
man-overalls-bib.svg,man-overalls-bib,SCAN0013_r04_c04,SCAN0013,4,4,0
man-overalls-front-2.svg,man-overalls-front,SCAN0013_r04_c05,SCAN0013,4,5,0
man-overalls-cap.svg,man-overalls-cap,SCAN0013_r05_c01,SCAN0013,5,1,0
man-cap-overalls.svg,man-cap-overalls,SCAN0013_r05_c02,SCAN0013,5,2,0
man-walking-4.svg,man-walking,SCAN0013_r05_c03,SCAN0013,5,3,0
man-overalls-walking.svg,man-overalls-walking,SCAN0013_r05_c04,SCAN0013,5,4,0
man-in-apron-2.svg,man-in-apron,SCAN0013_r05_c05,SCAN0013,5,5,0
man-suit-2.svg,man-suit,SCAN0013_r06_c01,SCAN0013,6,1,0
man-with-rifle.svg,man-with-rifle,SCAN0013_r06_c02,SCAN0013,6,2,0
man-suit-standing-3.svg,man-suit-standing,SCAN0013_r06_c03,SCAN0013,6,3,0
man-suit-2-2.svg,man-suit-2,SCAN0013_r06_c04,SCAN0013,6,4,0
man-sailor.svg,man-sailor,SCAN0013_r06_c05,SCAN0013,6,5,0
man-in-overcoat-2.svg,man-in-overcoat,SCAN0014_r01_c01,SCAN0014,1,1,0
man-with-jacket.svg,man-with-jacket,SCAN0014_r01_c02,SCAN0014,1,2,0
man-coat-standing.svg,man-coat-standing,SCAN0014_r01_c03,SCAN0014,1,3,0
man-with-pickaxe-2.svg,man-with-pickaxe,SCAN0014_r01_c04,SCAN0014,1,4,0
man-leaning-writing.svg,man-leaning-writing,SCAN0014_r01_c05,SCAN0014,1,5,0
man-at-workbench.svg,man-at-workbench,SCAN0014_r02_c01,SCAN0014,2,1,0
man-with-sledgehammer.svg,man-with-sledgehammer,SCAN0014_r02_c02,SCAN0014,2,2,0
blacksmith-at-anvil.svg,blacksmith-at-anvil,SCAN0014_r02_c03,SCAN0014,2,3,0
man-swinging-tool.svg,man-swinging-tool,SCAN0014_r02_c04,SCAN0014,2,4,0
man-at-table.svg,man-at-table,SCAN0014_r02_c05,SCAN0014,2,5,0
man-standing-5.svg,man-standing,SCAN0014_r03_c01,SCAN0014,3,1,0
man-standing-outline.svg,man-standing-outline,SCAN0014_r03_c02,SCAN0014,3,2,0
man-thin-suit.svg,man-thin-suit,SCAN0014_r03_c03,SCAN0014,3,3,0
man-hat-suit.svg,man-hat-suit,SCAN0014_r03_c04,SCAN0014,3,4,0
man-hat-hands-in-pockets.svg,man-hat-hands-in-pockets,SCAN0014_r03_c05,SCAN0014,3,5,0
man-with-briefcase.svg,man-with-briefcase,SCAN0014_r04_c01,SCAN0014,4,1,0
man-walking-hat-2.svg,man-walking-hat,SCAN0014_r04_c02,SCAN0014,4,2,0
man-walking-5.svg,man-walking,SCAN0014_r04_c03,SCAN0014,4,3,0
man-hands-on-hips.svg,man-hands-on-hips,SCAN0014_r04_c04,SCAN0014,4,4,0
man-suspenders.svg,man-suspenders,SCAN0014_r04_c05,SCAN0014,4,5,0
man-in-coat-2.svg,man-in-coat,SCAN0014_r05_c01,SCAN0014,5,1,0
man-pointing.svg,man-pointing,SCAN0014_r05_c02,SCAN0014,5,2,0
man-standing-2-3.svg,man-standing-2,SCAN0014_r05_c03,SCAN0014,5,3,0
man-standing-3-3.svg,man-standing-3,SCAN0014_r05_c04,SCAN0014,5,4,0
man-with-umbrella.svg,man-with-umbrella,SCAN0014_r05_c05,SCAN0014,5,5,0
man-at-counter-2.svg,man-at-counter,SCAN0014_r06_c01,SCAN0014,6,1,0
painter-at-easel.svg,painter-at-easel,SCAN0014_r06_c02,SCAN0014,6,2,0
man-hat-with-cane.svg,man-hat-with-cane,SCAN0014_r06_c03,SCAN0014,6,3,0
man-walking-cane.svg,man-walking-cane,SCAN0014_r06_c04,SCAN0014,6,4,0
man-suit-standing-4.svg,man-suit-standing,SCAN0014_r06_c05,SCAN0014,6,5,0
man-standing-6.svg,man-standing,SCAN0015_r01_c01,SCAN0015,1,1,0
man-painting-wall.svg,man-painting-wall,SCAN0015_r01_c02,SCAN0015,1,2,0
man-with-tool.svg,man-with-tool,SCAN0015_r01_c03,SCAN0015,1,3,0
